EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
108,Nancy,Greenberg,nancy.greenberg@company.com,515.124.4569,17-AUG-02,FI_MGR,12008, - ,101,100
109,Daniel,Faviet,daniel.faviet@company.com,515.124.4169,16-AUG-02,FI_ACCOUNT,9000, - ,108,100
110,John,Chen,john.chen@company.com,515.124.4269,28-SEP-05,FI_ACCOUNT,8200, - ,108,100
111,Ismael,Sciarra,ismael.sciarra@company.com,515.124.4369,30-SEP-05,FI_ACCOUNT,7700, - ,108,100
112,Jose Manuel,Urman,josemanuel.urman@company.com,515.124.4469,07-MAR-06,FI_ACCOUNT,7800, - ,108,100
113,Luis,Popp,luis.popp@company.com,515.124.4567,07-DEC-07,FI_ACCOUNT,6900, - ,108,100
114,Den,Raphaely,den.raphaely@company.com,515.127.4561,07-DEC-02,PU_MAN,11000, - ,100,30
115,Alexander,Khoo,alexander.khoo@company.com,515.127.4562,18-MAY-03,PU_CLERK,3100, - ,114,30
116,Shelli,Baida,shelli.baida@company.com,515.127.4563,24-DEC-05,PU_CLERK,2900, - ,114,30
117,Sigal,Tobias,sigal.tobias@company.com,515.127.4564,24-JUL-05,PU_CLERK,2800, - ,114,30
118,Guy,Himuro,guy.himuro@company.com,515.127.4565,15-NOV-06,PU_CLERK,2600, - ,114,30
119,Karen,Colmenares,karen.colmenares@company.com,515.127.4566,10-AUG-07,PU_CLERK,2500, - ,114,30
120,Matthew,Weiss,matthew.weiss@company.com,650.123.1234,18-JUL-04,ST_MAN,8000, - ,100,50
121,Adam,Fripp,adam.fripp@company.com,650.123.2234,10-APR-05,ST_MAN,8200, - ,100,50
122,Payam,Kaufling,payam.kaufling@company.com,650.123.3234,01-MAY-03,ST_MAN,7900, - ,100,50
123,Shanta,Vollman,shanta.vollman@company.com,650.123.4234,10-OCT-05,ST_MAN,6500, - ,100,50
124,Kevin,Mourgos,kevin.mourgos@company.com,650.123.5234,16-NOV-07,ST_MAN,5800, - ,100,50
125,Julia,Nayer,julia.nayer@company.com,650.124.1214,16-JUL-05,ST_CLERK,3200, - ,120,50
126,Irene,Mikkilineni,irene.mikkilineni@company.com,650.124.1224,28-SEP-06,ST_CLERK,2700, - ,120,50
127,James,Landry,james.landry@company.com,650.124.1334,14-JAN-07,ST_CLERK,2400, - ,120,50
128,Steven,Markle,steven.markle@company.com,650.124.1434,08-MAR-08,ST_CLERK,2200, - ,120,50
129,Laura,Bissot,laura.bissot@company.com,650.124.5234,20-AUG-05,ST_CLERK,3300, - ,121,50
130,Mozhe,Atkinson,mozhe.atkinson@company.com,650.124.6234,30-OCT-05,ST_CLERK,2800, - ,121,50
131,James,Marlow,james.marlow@company.com,650.124.7234,16-FEB-05,ST_CLERK,2500, - ,121,50
132,TJ,Olson,tj.olson@company.com,650.124.8234,10-APR-07,ST_CLERK,2100, - ,121,50
133,Jason,Mallin,jason.mallin@company.com,650.127.1934,14-JUN-04,ST_CLERK,3300, - ,122,50
134,Michael,Rogers,michael.rogers@company.com,650.127.1834,26-AUG-06,ST_CLERK,2900, - ,122,50
135,Ki,Gee,ki.gee@company.com,650.127.1734,12-DEC-07,ST_CLERK,2400, - ,122,50
136,Hazel,Philtanker,hazel.philtanker@company.com,650.127.1634,06-FEB-08,ST_CLERK,2200, - ,122,50
137,Renske,Ladwig,renske.ladwig@company.com,650.121.1234,14-JUL-03,ST_CLERK,3600, - ,123,50
138,Stephen,Stiles,stephen.stiles@company.com,650.121.2034,26-OCT-05,ST_CLERK,3200, - ,123,50
139,John,Seo,john.seo@company.com,650.121.2019,12-FEB-06,ST_CLERK,2700, - ,123,50
140,Joshua,Patel,joshua.patel@company.com,650.121.1834,06-APR-06,ST_CLERK,2500, - ,123,50
